run_id,scheduled_at,platform,chart,official_chart,status,row_count,started_at,finished_at,error_message
20260704_012006,2026-07-04T01:00:00+08:00,QQ音乐,热歌榜,热歌榜,success,20,2026-07-04T01:20:06+08:00,2026-07-04T01:20:11+08:00,
20260704_012006,2026-07-04T01:00:00+08:00,QQ音乐,飙升榜,飙升榜,success,20,2026-07-04T01:20:11+08:00,2026-07-04T01:20:19+08:00,
20260704_012006,2026-07-04T01:00:00+08:00,酷狗音乐,热歌榜,酷狗TOP500,success,500,2026-07-04T01:20:19+08:00,2026-07-04T01:20:55+08:00,
20260704_012006,2026-07-04T01:00:00+08:00,酷狗音乐,飙升榜,酷狗飙升榜,success,100,2026-07-04T01:20:55+08:00,2026-07-04T01:21:02+08:00,
20260704_055107,2026-07-04T05:00:00+08:00,QQ音乐,热歌榜,热歌榜,success,20,2026-07-04T05:51:07+08:00,2026-07-04T05:51:11+08:00,
20260704_055107,2026-07-04T05:00:00+08:00,QQ音乐,飙升榜,飙升榜,success,20,2026-07-04T05:51:11+08:00,2026-07-04T05:51:15+08:00,
20260704_055107,2026-07-04T05:00:00+08:00,酷狗音乐,热歌榜,酷狗TOP500,success,500,2026-07-04T05:51:15+08:00,2026-07-04T05:51:45+08:00,
20260704_055107,2026-07-04T05:00:00+08:00,酷狗音乐,飙升榜,酷狗飙升榜,success,100,2026-07-04T05:51:45+08:00,2026-07-04T05:51:50+08:00,
20260704_161324,2026-07-04T16:00:00+08:00,QQ音乐,热歌榜,热歌榜,success,20,2026-07-04T16:13:24+08:00,2026-07-04T16:13:28+08:00,
20260704_161324,2026-07-04T16:00:00+08:00,QQ音乐,飙升榜,飙升榜,success,20,2026-07-04T16:13:28+08:00,2026-07-04T16:13:37+08:00,
20260704_161324,2026-07-04T16:00:00+08:00,酷狗音乐,热歌榜,酷狗TOP500,success,500,2026-07-04T16:13:37+08:00,2026-07-04T16:14:18+08:00,
20260704_161324,2026-07-04T16:00:00+08:00,酷狗音乐,飙升榜,酷狗飙升榜,success,100,2026-07-04T16:14:18+08:00,2026-07-04T16:14:26+08:00,
20260704_201652,2026-07-04T20:00:00+08:00,QQ音乐,热歌榜,热歌榜,success,20,2026-07-04T20:16:52+08:00,2026-07-04T20:17:20+08:00,
20260704_201652,2026-07-04T20:00:00+08:00,QQ音乐,飙升榜,飙升榜,success,20,2026-07-04T20:17:20+08:00,2026-07-04T20:17:26+08:00,
20260704_201652,2026-07-04T20:00:00+08:00,酷狗音乐,热歌榜,酷狗TOP500,success,500,2026-07-04T20:17:26+08:00,2026-07-04T20:18:02+08:00,
20260704_201652,2026-07-04T20:00:00+08:00,酷狗音乐,飙升榜,酷狗飙升榜,success,100,2026-07-04T20:18:02+08:00,2026-07-04T20:18:10+08:00,
20260704_235014,2026-07-04T23:00:00+08:00,QQ音乐,热歌榜,热歌榜,success,20,2026-07-04T23:50:14+08:00,2026-07-04T23:50:52+08:00,
20260704_235014,2026-07-04T23:00:00+08:00,QQ音乐,飙升榜,飙升榜,success,20,2026-07-04T23:50:52+08:00,2026-07-04T23:50:56+08:00,
20260704_235014,2026-07-04T23:00:00+08:00,酷狗音乐,热歌榜,酷狗TOP500,success,500,2026-07-04T23:50:56+08:00,2026-07-04T23:51:37+08:00,
20260704_235014,2026-07-04T23:00:00+08:00,酷狗音乐,飙升榜,酷狗飙升榜,success,100,2026-07-04T23:51:37+08:00,2026-07-04T23:51:46+08:00,
