snapshot_date,captured_at,platform,chart,official_chart,platform_date,rank,song_name,artist,chart_metric,duration,song_id,album_id,source_url
2026-09-23,2026-09-23T12:52:06+08:00,QQ音乐,热歌榜,热歌榜,2026-09-23,1,茶汤,郁可唯,上升 1,,4936030,002iWKlh2DcjFL,https://y.qq.com/n/ryqq/toplist/26
2026-09-23,2026-09-23T12:52:06+08:00,QQ音乐,热歌榜,热歌榜,2026-09-23,2,我不难过,孙燕姿,上升 1,,8136,004VSvF52mQoQp,https://y.qq.com/n/ryqq/toplist/26
2026-09-23,2026-09-23T12:52:06+08:00,QQ音乐,热歌榜,热歌榜,2026-09-23,3,泪海,许茹芸,上升 1,,106585340,001Ugmj01giuzO,https://y.qq.com/n/ryqq/toplist/26
2026-09-23,2026-09-23T12:52:06+08:00,QQ音乐,热歌榜,热歌榜,2026-09-23,4,甲乙丙丁 (你我怎么两清),李佳薇,上升 1,,696262512,00446QRA1fTdqA,https://y.qq.com/n/ryqq/toplist/26
2026-09-23,2026-09-23T12:52:06+08:00,QQ音乐,热歌榜,热歌榜,2026-09-23,5,自己就是自己的光,周深,新进,,726909425,001XyINh2rPydj,https://y.qq.com/n/ryqq/toplist/26
2026-09-23,2026-09-23T12:52:06+08:00,QQ音乐,热歌榜,热歌榜,2026-09-23,6,情歌,梁静茹,0,,462188,002E4IXe1ESUij,https://y.qq.com/n/ryqq/toplist/26
2026-09-23,2026-09-23T12:52:06+08:00,QQ音乐,热歌榜,热歌榜,2026-09-23,7,恋人,李荣浩,0,,496054946,004HaG7p4ZkhXA,https://y.qq.com/n/ryqq/toplist/26
2026-09-23,2026-09-23T12:52:06+08:00,QQ音乐,热歌榜,热歌榜,2026-09-23,8,我怀念的,孙燕姿,0,,5211338,000P3l050Olt27,https://y.qq.com/n/ryqq/toplist/26
2026-09-23,2026-09-23T12:52:06+08:00,QQ音乐,热歌榜,热歌榜,2026-09-23,9,六月的雨,胡歌,上升 105,,448590,002fNZDg1LHT3o,https://y.qq.com/n/ryqq/toplist/26
2026-09-23,2026-09-23T12:52:06+08:00,QQ音乐,热歌榜,热歌榜,2026-09-23,10,雨爱,杨丞琳,下降 1,,645819,000jcKFG0sQrD0,https://y.qq.com/n/ryqq/toplist/26
2026-09-23,2026-09-23T12:52:06+08:00,QQ音乐,热歌榜,热歌榜,2026-09-23,11,开始懂了,孙燕姿,下降 1,,5646,004KRIQr1oCp2A,https://y.qq.com/n/ryqq/toplist/26
2026-09-23,2026-09-23T12:52:06+08:00,QQ音乐,热歌榜,热歌榜,2026-09-23,12,素颜,许嵩/何曼婷,下降 1,,101813361,0035f8nw11cjkf,https://y.qq.com/n/ryqq/toplist/26
2026-09-23,2026-09-23T12:52:06+08:00,QQ音乐,热歌榜,热歌榜,2026-09-23,13,爱错,王力宏,下降 1,,105905415,002ElVxf43rOue,https://y.qq.com/n/ryqq/toplist/26
2026-09-23,2026-09-23T12:52:06+08:00,QQ音乐,热歌榜,热歌榜,2026-09-23,14,芥兰,杨丞琳,新进,,726600017,001ziqhR437SZ8,https://y.qq.com/n/ryqq/toplist/26
2026-09-23,2026-09-23T12:52:06+08:00,QQ音乐,热歌榜,热歌榜,2026-09-23,15,特别的人,方大同,下降 1,,5293866,000GvdTR0qcKh8,https://y.qq.com/n/ryqq/toplist/26
2026-09-23,2026-09-23T12:52:06+08:00,QQ音乐,热歌榜,热歌榜,2026-09-23,16,Always Online,林俊杰,下降 3,,447257,002g6zv02X7SNi,https://y.qq.com/n/ryqq/toplist/26
2026-09-23,2026-09-23T12:52:06+08:00,QQ音乐,热歌榜,热歌榜,2026-09-23,17,风月吻眉梢,礼越,上升 7,,586620109,001NXQwE1ywPDV,https://y.qq.com/n/ryqq/toplist/26
2026-09-23,2026-09-23T12:52:06+08:00,QQ音乐,热歌榜,热歌榜,2026-09-23,18,唯一,G.E.M.邓紫棋,下降 3,,438910555,002d6m7k0xCbSv,https://y.qq.com/n/ryqq/toplist/26
2026-09-23,2026-09-23T12:52:06+08:00,QQ音乐,热歌榜,热歌榜,2026-09-23,19,那页夏天,王俊凯,下降 18,,726554373,001Dp4r216cqJL,https://y.qq.com/n/ryqq/toplist/26
2026-09-23,2026-09-23T12:52:06+08:00,QQ音乐,热歌榜,热歌榜,2026-09-23,20,演员,薛之谦,下降 2,,102636799,003y8dsH2wBHlo,https://y.qq.com/n/ryqq/toplist/26
2026-09-23,2026-09-23T12:52:06+08:00,QQ音乐,热歌榜,热歌榜,2026-09-23,21,阴天,莫文蔚,下降 2,,4830345,000hTTJN3oScZr,https://y.qq.com/n/ryqq/toplist/26
2026-09-23,2026-09-23T12:52:06+08:00,QQ音乐,热歌榜,热歌榜,2026-09-23,22,春娇与志明,街道办GDC/欧阳耀莹,下降 2,,205357640,000lrXyA0MlEEo,https://y.qq.com/n/ryqq/toplist/26
2026-09-23,2026-09-23T12:52:06+08:00,QQ音乐,热歌榜,热歌榜,2026-09-23,23,红色高跟鞋,蔡健雅,下降 7,,624649,002dOge41xlS8x,https://y.qq.com/n/ryqq/toplist/26
2026-09-23,2026-09-23T12:52:06+08:00,QQ音乐,热歌榜,热歌榜,2026-09-23,24,盛夏的果实,莫文蔚,下降 7,,4830161,000KeV8l1PIjxt,https://y.qq.com/n/ryqq/toplist/26
2026-09-23,2026-09-23T12:52:06+08:00,QQ音乐,热歌榜,热歌榜,2026-09-23,25,Baby Come Home,JOSHUA (조슈아)/韦礼安,新进,,727468157,003AHwCi0uxqbT,https://y.qq.com/n/ryqq/toplist/26
2026-09-23,2026-09-23T12:52:06+08:00,QQ音乐,热歌榜,热歌榜,2026-09-23,26,失眠,Suki刘舒妤,下降 3,,4733575,002xCeeN4EJ1Ke,https://y.qq.com/n/ryqq/toplist/26
2026-09-23,2026-09-23T12:52:06+08:00,QQ音乐,热歌榜,热歌榜,2026-09-23,27,江南,林俊杰,下降 1,,9063002,000y5gq7449K9I,https://y.qq.com/n/ryqq/toplist/26
2026-09-23,2026-09-23T12:52:06+08:00,QQ音乐,热歌榜,热歌榜,2026-09-23,28,美人鱼,林俊杰,上升 2,,95292,000y5gq7449K9I,https://y.qq.com/n/ryqq/toplist/26
2026-09-23,2026-09-23T12:52:06+08:00,QQ音乐,热歌榜,热歌榜,2026-09-23,29,遇见,孙燕姿,下降 4,,8145,002ehzTm0TxXC2,https://y.qq.com/n/ryqq/toplist/26
2026-09-23,2026-09-23T12:52:06+08:00,QQ音乐,热歌榜,热歌榜,2026-09-23,30,幻听,许嵩,下降 9,,1531817,004RbL3b0BDIe2,https://y.qq.com/n/ryqq/toplist/26
2026-09-23,2026-09-23T12:52:06+08:00,QQ音乐,热歌榜,热歌榜,2026-09-23,31,富士山下,陈奕迅,下降 4,,260678,004Z85XP1c25b7,https://y.qq.com/n/ryqq/toplist/26
2026-09-23,2026-09-23T12:52:06+08:00,QQ音乐,热歌榜,热歌榜,2026-09-23,32,偏爱,张芸京,0,,473137,003ha6C92GRuVE,https://y.qq.com/n/ryqq/toplist/26
2026-09-23,2026-09-23T12:52:06+08:00,QQ音乐,热歌榜,热歌榜,2026-09-23,33,有何不可,许嵩,下降 11,,102296985,002KSDg90IaScI,https://y.qq.com/n/ryqq/toplist/26
2026-09-23,2026-09-23T12:52:06+08:00,QQ音乐,热歌榜,热歌榜,2026-09-23,34,雨过后的风景,Dizzy Dizzo (蔡诗芸),下降 6,,1960263,0038xSkp1EcVBf,https://y.qq.com/n/ryqq/toplist/26
2026-09-23,2026-09-23T12:52:06+08:00,QQ音乐,热歌榜,热歌榜,2026-09-23,35,我记得,赵雷,下降 4,,372639235,003QIVDT3UB8zG,https://y.qq.com/n/ryqq/toplist/26
2026-09-23,2026-09-23T12:52:06+08:00,QQ音乐,热歌榜,热歌榜,2026-09-23,36,如愿,王菲,0,,326584182,004Kbn3m2HV9Y3,https://y.qq.com/n/ryqq/toplist/26
2026-09-23,2026-09-23T12:52:06+08:00,QQ音乐,热歌榜,热歌榜,2026-09-23,37,十年,陈奕迅,0,,4830342,000GDz8k03UOaI,https://y.qq.com/n/ryqq/toplist/26
2026-09-23,2026-09-23T12:52:06+08:00,QQ音乐,热歌榜,热歌榜,2026-09-23,38,我们俩,郭顶,下降 5,,105413206,003sMyYb4HZAAz,https://y.qq.com/n/ryqq/toplist/26
2026-09-23,2026-09-23T12:52:06+08:00,QQ音乐,热歌榜,热歌榜,2026-09-23,39,多远都要在一起,G.E.M.邓紫棋,下降 5,,102174489,003c616O2Zlswm,https://y.qq.com/n/ryqq/toplist/26
2026-09-23,2026-09-23T12:52:06+08:00,QQ音乐,热歌榜,热歌榜,2026-09-23,40,最佳损友,陈奕迅,下降 5,,1338414,002FT46H18G1jW,https://y.qq.com/n/ryqq/toplist/26
2026-09-23,2026-09-23T12:52:06+08:00,QQ音乐,热歌榜,热歌榜,2026-09-23,41,晴天,周杰伦,下降 3,,97773,000MkMni19ClKG,https://y.qq.com/n/ryqq/toplist/26
2026-09-23,2026-09-23T12:52:06+08:00,QQ音乐,热歌榜,热歌榜,2026-09-23,42,樱花草,Sweety,上升 1,,481456,000pKXff1doeOd,https://y.qq.com/n/ryqq/toplist/26
2026-09-23,2026-09-23T12:52:06+08:00,QQ音乐,热歌榜,热歌榜,2026-09-23,43,其实,薛之谦,下降 3,,104775877,000QgFcm0v8WaF,https://y.qq.com/n/ryqq/toplist/26
2026-09-23,2026-09-23T12:52:06+08:00,QQ音乐,热歌榜,热歌榜,2026-09-23,44,玻璃,Gareth.T,下降 5,,666124541,002kIED92uw8L5,https://y.qq.com/n/ryqq/toplist/26
2026-09-23,2026-09-23T12:52:06+08:00,QQ音乐,热歌榜,热歌榜,2026-09-23,45,海阔天空,BEYOND,上升 2,,4835784,002qcJuX3lO3EZ,https://y.qq.com/n/ryqq/toplist/26
2026-09-23,2026-09-23T12:52:06+08:00,QQ音乐,热歌榜,热歌榜,2026-09-23,46,黄昏,周传雄,上升 2,,526713,001U6x8f2uJhig,https://y.qq.com/n/ryqq/toplist/26
2026-09-23,2026-09-23T12:52:06+08:00,QQ音乐,热歌榜,热歌榜,2026-09-23,47,青花,周传雄,下降 3,,102204539,001Vj7aX0PixwV,https://y.qq.com/n/ryqq/toplist/26
2026-09-23,2026-09-23T12:52:06+08:00,QQ音乐,热歌榜,热歌榜,2026-09-23,48,如果当时,许嵩,下降 6,,460049,002KSDg90IaScI,https://y.qq.com/n/ryqq/toplist/26
2026-09-23,2026-09-23T12:52:06+08:00,QQ音乐,热歌榜,热歌榜,2026-09-23,49,不将就,李荣浩,上升 3,,102367085,001fi1zG0EjU2u,https://y.qq.com/n/ryqq/toplist/26
2026-09-23,2026-09-23T12:52:06+08:00,QQ音乐,热歌榜,热歌榜,2026-09-23,50,认真的雪,薛之谦,上升 4,,1333803,003mUYW22JXKVK,https://y.qq.com/n/ryqq/toplist/26
